componente,versione,licenza,origine
eventemitter3,5.0.4,MIT,npm
expect-type,1.4.0,Apache-2.0,npm
fast-deep-equal,3.1.3,MIT,npm
fast-glob,3.3.3,MIT,npm
fast-json-stable-stringify,2.1.0,MIT,npm
fast-levenshtein,2.0.6,MIT,npm
fastq,1.20.1,ISC,npm
file-entry-cache,8.0.0,MIT,npm
fill-range,7.1.1,MIT,npm
find-up,5.0.0,MIT,npm
flat-cache,4.0.1,MIT,npm
flatted,3.4.4,ISC,npm
function-bind,1.1.2,MIT,npm
glob-parent,6.0.2,ISC,npm
globals,15.14.0,MIT,npm
graphemer,1.4.0,MIT,npm
happy-dom,15.11.7,MIT,npm
has-flag,4.0.0,MIT,npm
hasown,2.0.4,MIT,npm
https-proxy-agent,7.0.6,MIT,npm
ignore,5.3.2,MIT,npm
immer,11.1.18,MIT,npm
import-fresh,3.3.1,MIT,npm
imurmurhash,0.1.4,MIT,npm
indent-string,4.0.0,MIT,npm
index-to-position,1.2.0,MIT,npm
internmap,2.0.3,ISC,npm
is-binary-path,2.1.0,MIT,npm
is-core-module,2.16.2,MIT,npm
is-extglob,2.1.1,MIT,npm
is-glob,4.0.3,MIT,npm
is-number,7.0.0,MIT,npm
isexe,2.0.0,ISC,npm
jiti,1.21.7,MIT,npm
js-levenshtein,1.1.6,MIT,npm
js-tokens,4.0.0,MIT,npm
js-yaml,4.3.1,MIT,npm
json-buffer,3.0.1,MIT,npm
json-schema-traverse,0.4.1,MIT,npm
json-stable-stringify-without-jsonify,1.0.1,MIT,npm
keyv,4.5.4,MIT,npm
levn,0.4.1,MIT,npm
lilconfig,3.1.3,MIT,npm
lines-and-columns,1.2.4,MIT,npm
locate-path,6.0.0,MIT,npm
lodash,4.18.1,MIT,npm
lodash.merge,4.6.2,MIT,npm
loose-envify,1.4.0,MIT,npm
loupe,3.2.1,MIT,npm
lucide-react,0.468.0,ISC,npm
lz-string,1.5.0,MIT,npm
magic-string,0.30.21,MIT,npm
merge2,1.4.1,MIT,npm
micromatch,4.0.8,MIT,npm
min-indent,1.0.1,MIT,npm
minimatch,3.1.5,ISC,npm
ms,2.1.3,MIT,npm
mz,2.7.0,MIT,npm
nanoid,3.3.18,MIT,npm
natural-compare,1.4.0,MIT,npm
normalize-path,3.0.0,MIT,npm
object-assign,4.1.1,MIT,npm
object-hash,3.0.0,MIT,npm
openapi-typescript,7.6.1,MIT,npm
optionator,0.9.4,MIT,npm
p-limit,3.1.0,MIT,npm
p-locate,5.0.0,MIT,npm
parent-module,1.0.1,MIT,npm
parse-json,8.3.0,MIT,npm
path-exists,4.0.0,MIT,npm
path-key,3.1.1,MIT,npm
path-parse,1.0.7,MIT,npm
pathe,2.0.3,MIT,npm
pathval,2.0.1,MIT,npm
picocolors,1.1.1,ISC,npm
picomatch,2.3.2,MIT,npm
pirates,4.0.7,MIT,npm
pluralize,8.0.0,MIT,npm
postcss,8.5.1,MIT,npm
postcss-import,15.1.0,MIT,npm
postcss-js,4.1.0,MIT,npm
postcss-load-config,4.0.2,MIT,npm
postcss-nested,6.2.0,MIT,npm
postcss-selector-parser,6.1.4,MIT,npm
postcss-value-parser,4.2.0,MIT,npm
prelude-ls,1.2.1,MIT,npm
pretty-format,27.5.1,MIT,npm
punycode,2.3.1,MIT,npm
queue-microtask,1.2.3,MIT,npm
react,18.3.1,MIT,npm
react-dom,18.3.1,MIT,npm
react-hook-form,7.54.2,MIT,npm
react-is,17.0.2,MIT,npm
react-redux,9.3.0,MIT,npm
react-router,7.1.5,MIT,npm
react-router-dom,7.1.5,MIT,npm
read-cache,1.0.2,MIT,npm
readdirp,3.6.0,MIT,npm
recharts,3.10.1,MIT,npm
redent,3.0.0,MIT,npm
redux,5.0.1,MIT,npm
redux-thunk,3.1.0,MIT,npm
require-from-string,2.0.2,MIT,npm
reselect,5.2.0,MIT,npm
resolve,1.22.12,MIT,npm
resolve-from,4.0.0,MIT,npm
reusify,1.1.0,MIT,npm
rollup,4.63.0,MIT,npm
run-parallel,1.2.0,MIT,npm
scheduler,0.23.2,MIT,npm
set-cookie-parser,2.7.2,MIT,npm
shebang-command,2.0.0,MIT,npm
shebang-regex,3.0.0,MIT,npm
siginfo,2.0.0,ISC,npm
source-map-js,1.2.1,BSD-3-Clause,npm
stackback,0.0.2,MIT,npm
std-env,3.10.0,MIT,npm
strip-indent,3.0.0,MIT,npm
strip-json-comments,3.1.1,MIT,npm
sucrase,3.35.1,MIT,npm
supports-color,7.2.0,MIT,npm
supports-preserve-symlinks-flag,1.0.0,MIT,npm
tailwindcss,3.4.17,MIT,npm
thenify,3.3.1,MIT,npm
thenify-all,1.6.0,MIT,npm
tiny-invariant,1.3.3,MIT,npm
tinybench,2.9.0,MIT,npm
tinyexec,0.3.2,MIT,npm
tinyglobby,0.2.17,MIT,npm
tinypool,1.1.1,MIT,npm
tinyrainbow,2.0.0,MIT,npm
tinyspy,3.0.2,MIT,npm
to-regex-range,5.0.1,MIT,npm
ts-api-utils,2.5.0,MIT,npm
ts-custom-error,3.3.1,MIT,npm
ts-interface-checker,0.1.13,Apache-2.0,npm
turbo-stream,2.4.0,ISC,npm
type-check,0.4.0,MIT,npm
type-fest,4.41.0,(MIT OR CC0-1.0),npm
typescript,5.7.3,Apache-2.0,npm
typescript-eslint,8.22.0,MIT,npm
uri-js,4.4.1,BSD-2-Clause,npm
uri-js-replace,1.0.1,MIT,npm
use-sync-external-store,1.6.0,MIT,npm
util-deprecate,1.0.2,MIT,npm
victory-vendor,37.3.6,MIT AND ISC,npm
vite,6.1.0,MIT,npm
vite-node,3.0.5,MIT,npm
vitest,3.0.5,MIT,npm
webidl-conversions,7.0.0,BSD-2-Clause,npm
which,2.0.2,ISC,npm
why-is-node-running,2.3.0,MIT,npm
word-wrap,1.2.5,MIT,npm
yaml,2.9.0,ISC,npm
yaml-ast-parser,0.0.43,Apache-2.0,npm
yargs-parser,21.1.1,ISC,npm
yocto-queue,0.1.0,MIT,npm
zod,3.24.2,MIT,npm
postgres,16-alpine,PostgreSQL License,immagine
caddy,2-alpine,Apache-2.0,immagine
ollama,latest,MIT,immagine
qwen3:4b,—,Apache-2.0,modello
tesseract-ocr,5.x,Apache-2.0,pacchetto di sistema
debian (base python:3.12-slim),12,misto (vedi compliance/README.md),immagine
